edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
5663,3256,3082,370897167,5145531517,17.98,8.13,383.06,47.65,21.53
5664,3256,3136,370897167,370898177,40.66,9.64,333.38,18.34,4.35
5665,3257,3231,42456683,42436510,12.66,8.09,79.20,13.99,8.94
5666,3257,3348,42456683,42445961,6.58,3.06,154.74,52.58,24.45
5667,3258,3169,406048768,42434974,7.71,5.39,133.83,38.82,27.14
5668,3258,3233,406048768,42445392,14.82,12.63,84.64,12.78,10.89
5669,3258,3278,406048768,589099734,22.34,7.64,60.28,6.04,2.07
5670,3259,3271,1946814074,1989096613,16.15,9.49,77.07,10.67,6.27
5671,3259,3280,1946814074,248709626,24.87,4.16,93.60,8.42,1.41
5672,3260,3239,4205805401,42428714,9.37,7.72,52.23,12.48,10.29
5673,3261,3245,42448338,596775907,10.31,8.98,19.94,4.32,3.76
5674,3261,3294,42448338,42443613,12.36,8.90,80.25,14.52,10.46
5675,3262,3055,42441310,42441382,13.76,4.09,502.37,81.68,24.28
5676,3262,3293,42441310,5004570627,22.26,7.65,57.03,5.73,1.97
5677,3263,3230,1577501047,42422899,8.81,7.64,54.39,13.81,11.97
5678,3264,3291,4917679392,42445667,17.45,8.48,51.81,6.64,3.23
5679,3265,3277,5482687363,42436990,19.07,6.73,27.65,3.24,1.14
5680,3266,3298,42441903,42441907,3.65,3.21,79.62,48.77,42.83
5681,3267,3240,42446994,42440459,11.64,7.77,79.12,15.21,10.16
5682,3267,3360,42446994,42449961,8.55,5.37,154.70,40.48,25.41
5683,3268,3226,4215936660,42443353,12.22,8.18,72.94,13.35,8.93
5684,3268,3364,4215936660,4205805392,13.80,8.79,164.63,26.68,16.99
5685,3269,3187,42428716,42431102,4.43,2.60,126.13,63.62,37.24
5686,3269,3260,42428716,4205805401,14.65,7.55,34.28,5.23,2.70
5687,3270,3300,42445950,42445953,10.61,7.32,78.57,16.57,11.43
5688,3270,3354,42445950,596775946,5.62,4.54,144.48,57.55,46.47
5689,3271,3249,1989096613,42427915,4.38,4.15,57.40,29.34,27.81
5690,3271,3259,1989096613,1946814074,27.68,3.77,77.07,6.23,0.85
5691,3272,3290,4205805399,1061531504,17.00,9.33,29.77,3.92,2.15
5692,3273,3245,596775951,596775907,16.82,8.84,80.33,10.68,5.61
5693,3273,3294,596775951,42443613,11.52,9.44,19.93,3.87,3.17
5694,3274,3244,42431107,42431106,15.70,9.04,80.66,11.49,6.61
5695,3274,3305,42431107,42431108,23.95,4.90,79.90,7.46,1.53
5696,3274,3349,42431107,42428725,11.52,6.57,129.20,25.10,14.32
5697,3275,3334,370914027,589099584,33.44,14.48,169.28,11.32,4.90
5698,3275,3404,370914027,370922849,28.44,8.62,517.38,40.69,12.33
5699,3276,3235,3834459536,5481907299,15.37,6.01,59.80,8.70,3.40
5700,3277,3309,42436990,42442528,18.85,6.22,79.67,9.45,3.12
5701,3277,3417,42436990,42436985,11.04,3.64,270.90,54.88,18.10
5702,3278,3258,589099734,406048768,11.91,12.86,60.28,11.33,12.23
5703,3278,3382,589099734,3734911590,20.80,9.31,281.39,30.26,13.55
5704,3279,3263,3829688390,1577501047,11.08,7.42,25.06,5.06,3.39
5705,3280,3259,248709626,1946814074,24.95,5.44,93.60,8.39,1.83
5706,3280,3315,248709626,42445598,26.30,4.88,58.58,4.98,0.92
5707,3281,3229,5319121991,42449954,8.81,6.99,82.83,21.03,16.67
